,AutoModerator,SalsaDraugur,Gloomy-Concentrate-2,Apollo_Danger,kchambers92,Walrusin_about,Chicken-fork-king,KeziaTML,Krombopulos-Savage,Olaaphrodite,Pikalika,Bigbam51,coppertech,tryM3B1tch,Vaelthune,Draxtonsmitz,RecklessGeek,soda_fucker,Tinkerballsack,neuromorph,AzureDementia,OneOverX,GrumpMcTaco,bongowasd,holololo2323,pumpkin2500,[deleted],VanCortez,potato_famine69,mennnnnnnnnnnnnnn,YuhboiGabe,PAPAxJI,Strict_Grab_6587,Aggressive-Mix-7923,SnooBananas6578,Opening_Builder9027,Longjumping_Key_1624,0507gotquestions,Repulsive_Home_5914,tomorrowlanding
AutoModerator,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9989929423467253,0.0,0.9932442241955257,0.0,1.0,0.0,0.0,0.9927544486051949,0.99431560327304,0.9978401433679492,0.9994687335632074,0.9976004053046145,0.9947516738863629,0.0,0.0,0.0,0.0,0.0,0.0,0.9991080356411848,0.0,0.0,0.0,0.0,1.0,1.0,0.9982690660518746,0.9977282422993387,0.9983314258311209,1.0,1.0,0.9981432525490102,1.0
SalsaDraugur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9818293135196757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gloomy-Concentrate-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9896970640549249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Apollo_Danger,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9876305167316799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kchambers92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9832324046145833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Walrusin_about,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9879300134808574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chicken-fork-king,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9880183412392693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KeziaTML,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9922439699979787,0.0,0.9989929423467253,0.0,0.0,0.9917546876399046,0.9933142701349935,0.9968352608148259,0.9984622109258636,0.9965957641815425,0.9937499016000678,0.0,0.0,0.0,0.0,0.0,0.0,0.998101876247444,0.0,0.0,0.0,0.0,0.9989929423467253,0.9989929423467253,0.9971989490978693,0.9967234724370428,0.9972651672067473,0.9989929423467253,0.9989929423467253,0.997138064747466,0.9989929423467253
Krombopulos-Savage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9809094403881089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Olaaphrodite,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9932442241955257,0.0,0.0,0.9858480195094299,0.9875853242714838,0.9910989590706508,0.9927165468756725,0.0,0.9880087295081614,0.9859522295177892,0.0,0.0,0.0,0.0,0.0,0.9923582857479442,0.0,0.0,0.0,0.0,0.9932442241955257,0.9932442241955257,0.9914380576085572,0.9909748986128794,0.9915747484231433,0.9932442241955257,0.9932442241955257,0.9913012385266222,0.9932442241955257
