,AutoModerator,SalsaDraugur,Gloomy-Concentrate-2,Apollo_Danger,kchambers92,Walrusin_about,Chicken-fork-king,KeziaTML,Krombopulos-Savage,Olaaphrodite,Pikalika,Bigbam51,coppertech,tryM3B1tch,Vaelthune,Draxtonsmitz,RecklessGeek,soda_fucker,Tinkerballsack,neuromorph,AzureDementia,OneOverX,GrumpMcTaco,bongowasd,holololo2323,pumpkin2500,[deleted],VanCortez,potato_famine69,[deleted].1,mennnnnnnnnnnnnnn,YuhboiGabe,PAPAxJI,Strict_Grab_6587,Aggressive-Mix-7923,SnooBananas6578,Opening_Builder9027,Longjumping_Key_1624,0507gotquestions,Repulsive_Home_5914,tomorrowlanding
AutoModerator,6.413411329464503,6.174970785048497,6.101190810883955,6.12047870922081,6.130427440300962,6.11767878620832,6.116749200185291,6.023164821973158,6.18388993484397,6.076604613539821,6.096074377829004,6.013834928570776,6.11125236062085,6.10317547352741,6.081171831766721,6.066621717133937,6.033856489344778,6.018755679060128,6.036081498350837,6.06256157790536,6.0819560961204315,6.131638784869186,6.175926083208488,6.107379644651834,6.167692879584377,6.138347020900633,6.0220980633522325,6.108500855922522,6.226345483378264,6.16056948181871,6.27251946503573,6.27251946503573,6.013834928570776,6.013834928570776,6.029876991308237,6.034894976647212,6.029298566425714,6.013834928570776,6.013834928570776,6.031044098070005,6.013834928570776
SalsaDraugur,6.174970785048497,6.749656152667502,6.305060040910109,6.30538745880105,6.317608374793077,6.3187476156050035,6.314751457174229,6.184681438623763,6.382089441361195,6.239410433553738,6.260879147080443,6.1749707850484965,6.303739226919362,6.267298850140203,6.245998017104311,6.2288546430744915,6.196071287655323,6.180546725853435,6.197691065907561,6.2561691839878195,6.322411465469728,6.322961280098783,6.3803262060480925,6.336293367634801,6.385440303873903,6.322200707165849,6.183640067223887,6.28407799720309,6.4281464447001975,6.3525558694676425,6.433942096719097,6.433942096719097,6.1749707850484965,6.1749707850484965,6.191369059562444,6.197427892932409,6.191081586580362,6.1749707850484965,6.1749707850484965,6.192497340004196,6.1749707850484965
Gloomy-Concentrate-2,6.101190810883955,6.305060040910109,6.592928149033934,6.209659035834573,6.241831688081384,6.224333189609915,6.227318788431808,6.110520704286339,6.273095722950137,6.165306477109599,6.199772846473636,6.101190810883955,6.209849964024806,6.229098031650496,6.186744687371758,6.154594376085089,6.156002983387882,6.106419011236265,6.123708633793059,6.1509791216830605,6.195659901537984,6.22131931789239,6.284763314430541,6.227418398633091,6.258286731684588,6.228650441790348,6.109733357836789,6.2088962730208435,6.316218915912894,6.263231106615063,6.360219923172528,6.360219923172528,6.101190810883956,6.101190810883956,6.117817668705882,6.122988706179188,6.116894219868328,6.101190810883956,6.101190810883956,6.119227919430323,6.101190810883956
Apollo_Danger,6.12047870922081,6.30538745880105,6.209659035834573,6.632241888188423,6.250267194973093,6.244884060636687,6.236725557486552,6.16187137521274,6.329748321116456,6.18501482555834,6.204859340240762,6.1204787092208095,6.23831171235646,6.211842167483359,6.190395384970022,6.174168336325037,6.1405800000128545,6.12555085565423,6.14306101089907,6.171784193975596,6.190681774437862,6.255197892703073,6.3057954068131705,6.230257581960953,6.306542195893775,6.26723602420281,6.129088682497573,6.24145292211088,6.37343089380529,6.297323040007771,6.3794663997208305,6.3794663997208305,6.12047870922081,6.12047870922081,6.166516391239303,6.142414755052618,6.16439411331606,6.12047870922081,6.12047870922081,6.138152751168096,6.12047870922081
kchambers92,6.130427440300962,6.317608374793077,6.241831688081384,6.250267194973093,6.65391836011147,6.267136215707207,6.250878751463369,6.13995796892203,6.304484834611567,6.194818109090126,6.231935500658173,6.130427440300962,6.250187029719607,6.252938772516511,6.219287438542229,6.184928865085598,6.151225131637313,6.135527107808843,6.1532920903442365,6.180131764848955,6.223559211610023,6.252627690858018,6.350831925109414,6.244595510188778,6.3000440488122225,6.289173841137446,6.151307101894581,6.243264640953014,6.349120190064358,6.3335817749875405,6.389956550768932,6.389956550768932,6.130427440300962,6.130427440300962,6.147128895166852,6.153559736307573,6.146288769127297,6.130427440300962,6.130427440300962,6.159230685736899,6.130427440300962
Walrusin_about,6.11767878620832,6.3187476156050035,6.224333189609915,6.244884060636687,6.267136215707207,6.6273098279533045,6.2333456294194445,6.127360710060269,6.295368116245461,6.18155013033754,6.21495440701968,6.11767878620832,6.22692176711135,6.209491791850417,6.2026173200248484,6.171269900315928,6.138315373278268,6.1228806480756575,6.140106454583735,6.195368201968682,6.189366729523343,6.275781356091722,6.301855866548464,6.2407126345370845,6.298004518388099,6.2968813094256575,6.126281081766079,6.215404228982976,6.363205864899743,6.2806941566777255,6.376680259098146,6.376680259098146,6.11767878620832,6.11767878620832,6.134050183263673,6.13931153320815,6.133517975837205,6.11767878620832,6.11767878620832,6.135088999206905,6.11767878620832
Chicken-fork-king,6.116749200185291,6.314751457174229,6.227318788431808,6.236725557486552,6.250878751463369,6.2333456294194445,6.623785487283343,6.126279728806359,6.303956317579525,6.1808015414027855,6.2097278377628395,6.116749200185291,6.235822301678953,6.20814463842842,6.186201255393157,6.181116289345534,6.150061117943204,6.122048290311032,6.1510970597804215,6.167118144994436,6.210572979616164,6.253383397009794,6.3028486835011135,6.249405154868998,6.298476100306872,6.254202298472484,6.125453225021004,6.228503951902371,6.347419987079463,6.300462172045565,6.376251384572534,6.376251384572534,6.116749200185292,6.116749200185292,6.132978962773638,6.138645331653463,6.143996768078381,6.116749200185292,6.116749200185292,6.134296080350633,6.116749200185292
KeziaTML,6.023164821973158,6.184681438623763,6.110520704286339,6.16187137521274,6.13995796892203,6.127360710060269,6.126279728806359,6.432714310777146,6.19386302275423,6.085934506942204,6.105404271231387,6.023164821973158,6.120934284472798,6.112505366929793,6.090501725169103,6.075951610536319,6.043186382747161,6.02808557246251,6.04541139175322,6.071891471307742,6.091285989522814,6.141217460880443,6.185621808802722,6.116996589393796,6.177526972019473,6.148028944752581,6.031427956754615,6.118309103188716,6.236318571288524,6.1704323709900235,6.281849358438112,6.281849358438112,6.023164821973158,6.023164821973158,6.039808611137367,6.044224870049595,6.039193739984522,6.023164821973158,6.023164821973158,6.040373991472388,6.023164821973158
Krombopulos-Savage,6.18388993484397,6.382089441361195,6.273095722950137,6.329748321116456,6.304484834611567,6.295368116245461,6.303956317579525,6.19386302275423,6.7869612994722335,6.3021604804596825,6.290061930759981,6.18388993484397,6.297490929544261,6.276892000575564,6.281795425329751,6.237674931981175,6.204275562552232,6.188810685333322,6.208059114169481,6.243258487488185,6.253965405666204,6.34591941462283,6.383949714008757,6.28073298709118,6.456588497052512,6.345050381671344,6.192319653801558,6.298228597117891,6.592242314610484,6.354992799767378,6.443041477439181,6.443041477439181,6.18388993484397,6.18388993484397,6.200533724008179,6.20604333340822,6.200126321456223,6.18388993484397,6.18388993484397,6.20133697507684,6.18388993484397
Olaaphrodite,6.076604613539821,6.239410433553738,6.165306477109599,6.18501482555834,6.194818109090126,6.18155013033754,6.1808015414027855,6.085934506942204,6.3021604804596825,6.544613764295636,6.160127780318824,6.076604613539821,6.185154793894661,6.218187515748434,6.145816148045745,6.129512408383017,6.0966261743138235,6.081525364029173,6.147764948486151,6.1255433079076385,6.14483737931655,6.211509426373808,6.242023686062072,6.170237903897359,6.2347082917517325,6.225783137023747,6.084867748321278,6.186541456285248,6.296913380726041,6.225545912198403,6.335289150004775,6.335289150004775,6.076604613539821,6.076604613539821,6.093458517030314,6.09778534427422,6.092181938944102,6.076604613539821,6.076604613539821,6.0947364692898836,6.076604613539821
