,AutoModerator,SalsaDraugur,Gloomy-Concentrate-2,Apollo_Danger,kchambers92,Walrusin_about,Chicken-fork-king,KeziaTML,Krombopulos-Savage,Olaaphrodite,Pikalika,Bigbam51,coppertech,tryM3B1tch,Vaelthune,Draxtonsmitz,RecklessGeek,soda_fucker,Tinkerballsack,neuromorph,AzureDementia,OneOverX,GrumpMcTaco,bongowasd,holololo2323,pumpkin2500,[deleted],VanCortez,potato_famine69,[deleted],mennnnnnnnnnnnnnn,YuhboiGabe,PAPAxJI,Strict_Grab_6587,Aggressive-Mix-7923,SnooBananas6578,Opening_Builder9027,Longjumping_Key_1624,0507gotquestions,Repulsive_Home_5914,tomorrowlanding
AutoModerator,1.0,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233
SalsaDraugur,0.36787944117144233,1.0,0.39851904108451414,0.38289288597511206,0.3835315728763107,0.3951177613268873,0.3921267252382507,0.36787944117144233,0.39016854342397683,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.3885029385162901,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.391605626676799,0.4274149319487267,0.38723716324981633,0.39616443028206555,0.4168620196785084,0.4065696597405991,0.38078619041868866,0.36787944117144233,0.37653503333424765,0.39016854342397683,0.38776010329632493,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233
Gloomy-Concentrate-2,0.36787944117144233,0.39851904108451414,1.0,0.36787944117144233,0.3838717338942674,0.38125542780903016,0.3838717338942674,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.3791979291581653,0.36787944117144233,0.37450772185091885,0.39729471319771126,0.38125542780903016,0.36787944117144233,0.3951177613268873,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.38582130682912413,0.36787944117144233,0.38176006761337555,0.39086465125630715,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.3767435822258075,0.36787944117144233,0.37768898595171235,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233
Apollo_Danger,0.36787944117144233,0.38289288597511206,0.36787944117144233,1.0,0.3757905253549319,0.38176006761337555,0.3757905253549319,0.39324072086859824,0.39324072086859824,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.38176006761337555,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.37768898595171235,0.38230427289208063,0.3791979291581653,0.38776010329632493,0.38176006761337555,0.36787944117144233,0.38674102345450123,0.39324072086859824,0.3888955639892229,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.391605626676799,0.36787944117144233,0.39016854342397683,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233
kchambers92,0.36787944117144233,0.3835315728763107,0.3838717338942674,0.3757905253549319,1.0,0.3911064481253422,0.37854187754140095,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.3815030766654174,0.36787944117144233,0.3824952817678945,0.391605626676799,0.38289288597511206,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.3853942772027592,0.36787944117144233,0.4101204639912304,0.38125542780903016,0.37653503333424765,0.3911064481253422,0.37743422104673685,0.3795571881830896,0.36787944117144233,0.4094841251523642,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.37653503333424765,0.36787944117144233
Walrusin_about,0.36787944117144233,0.3951177613268873,0.38125542780903016,0.38176006761337555,0.3911064481253422,1.0,0.37516394688353344,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.3782415666666056,0.36787944117144233,0.3741678268007305,0.36787944117144233,0.37993999923303906,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.3888955639892229,0.36787944117144233,0.39653141907499284,0.38034875658925854,0.3888955639892229,0.3842270061816405,0.40797404404520005,0.36787944117144233,0.36787944117144233,0.38776010329632493,0.3769624283318982,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233
Chicken-fork-king,0.36787944117144233,0.3921267252382507,0.3838717338942674,0.3757905253549319,0.37854187754140095,0.37516394688353344,1.0,0.36787944117144233,0.37743422104673685,0.36787944117144233,0.37450772185091885,0.36787944117144233,0.3824952817678945,0.36787944117144233,0.36787944117144233,0.37614605089640657,0.37795770809331647,0.36787944117144233,0.37719235356315695,0.36787944117144233,0.3853942772027592,0.38014097251543866,0.3832055792088429,0.39616443028206555,0.38582130682912413,0.37516394688353344,0.36787944117144233,0.3795571881830896,0.37743422104673685,0.3941457624048215,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.3769624283318982,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233
KeziaTML,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.39324072086859824,0.36787944117144233,0.36787944117144233,0.36787944117144233,1.0,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233
Krombopulos-Savage,0.36787944117144233,0.39016854342397683,0.36787944117144233,0.39324072086859824,0.36787944117144233,0.36787944117144233,0.37743422104673685,0.36787944117144233,1.0,0.41111229050718745,0.3835315728763107,0.36787944117144233,0.3757905253549319,0.36787944117144233,0.38776010329632493,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.3941457624048215,0.3888955639892229,0.36787944117144233,0.44932896411722156,0.38776010329632493,0.36787944117144233,0.3791979291581653,0.513417119032592,0.38078619041868866,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233
Olaaphrodite,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.41111229050718745,1.0,0.36787944117144233,0.36787944117144233,0.3754643183221649,0.408715141105984,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.4065696597405991,0.36787944117144233,0.36787944117144233,0.3795571881830896,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.38582130682912413,0.36787944117144233,0.37854187754140095,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233
