,AutoModerator,SalsaDraugur,Gloomy-Concentrate-2,Apollo_Danger,kchambers92,Walrusin_about,Chicken-fork-king,KeziaTML,Krombopulos-Savage,Olaaphrodite,Pikalika,Bigbam51,coppertech,tryM3B1tch,Vaelthune,Draxtonsmitz,RecklessGeek,soda_fucker,Tinkerballsack,neuromorph,AzureDementia,OneOverX,GrumpMcTaco,bongowasd,holololo2323,pumpkin2500,[deleted],VanCortez,potato_famine69,mennnnnnnnnnnnnnn,YuhboiGabe,PAPAxJI,Strict_Grab_6587,Aggressive-Mix-7923,SnooBananas6578,Opening_Builder9027,Longjumping_Key_1624,0507gotquestions,Repulsive_Home_5914,tomorrowlanding
AutoModerator,0.24794570793871032,0.017401577334473083,0.009433841572711004,0.011516803502259202,0.012591198842039271,0.01121443084667865,0.011114041874153296,0.0010075650765315248,0.018364784893090708,0.006778699360439212,0.008881301576780945,0.0,0.01052042056064362,0.009648171649379547,0.007271927887696234,0.005700614397685737,0.002162192486399341,0.0005314076088082903,0.0024024783367072185,0.005262146955868527,0.007356623107618758,0.012722015822464497,0.017504743043036834,0.010102193557030693,0.016615613008870656,0.013446459721115047,0.000892362395731402,0.01022327675391586,0.02294969558426971,0.027936171780298915,0.027936171780298915,0.0,0.0,0.0017324337452415174,0.002274342056949313,0.001669967789212683,0.0,0.0,0.0018584733432331691,0.0
SalsaDraugur,0.017401577334473083,0.28425786354569166,0.03806806990678015,0.03472839171741341,0.03618611527364308,0.038811604751950446,0.03773402366365202,0.01845026192182706,0.044583127636842,0.024360621406859587,0.026679096554929782,0.017401577334472985,0.03576208896753611,0.02737238085366196,0.025072035657594312,0.023220667777876423,0.019680288205753835,0.0180037410443422,0.019855213248119702,0.031294986109909675,0.04618302547262873,0.037564549815807896,0.04568774026577814,0.04540289095371417,0.048487416196910764,0.03608909066528214,0.01833780088835524,0.031053904947566942,0.04955697096952399,0.04536871888790464,0.04536871888790464,0.017401577334472985,0.017401577334472985,0.019172479530570014,0.019826792355467034,0.019141434402324676,0.017401577334472985,0.017401577334472985,0.019294326149884296,0.017401577334472985
Gloomy-Concentrate-2,0.009433841572711004,0.03806806990678015,0.2673323043602711,0.02114767265953779,0.028076218283558416,0.0256214128269658,0.02650892375880153,0.010441406649242624,0.027998403718499085,0.016357897760857186,0.02252467095255044,0.009433841572711004,0.022599910134547194,0.029600251003842896,0.02156211005673006,0.015201063655355175,0.021236290571719028,0.009998451677125686,0.011865613403773975,0.014810640751130956,0.023511060398185787,0.022406903872293514,0.03225645093040954,0.02803005607855342,0.02639913331161346,0.023198615427049568,0.01035637858391715,0.022979833436690966,0.03265541547028494,0.03740722520003983,0.03740722520003983,0.0094338415727111,0.0094338415727111,0.011229429212495895,0.011787866114487566,0.0111297030142903,0.0094338415727111,0.0094338415727111,0.011381726705920345,0.0094338415727111
Apollo_Danger,0.011516803502259202,0.03472839171741341,0.02114767265953779,0.2715779209918414,0.027241764499564412,0.027949762561326502,0.025779359687200246,0.021464621779829926,0.03959419095627557,0.01848626544488609,0.020629338156694325,0.011516803502259107,0.0272399936162422,0.021383436039880962,0.01906732929219966,0.017314918326208368,0.013687606288719494,0.0120645608440593,0.013955538602159048,0.017057447156370243,0.019098257408271015,0.02818428802575929,0.034645314905211756,0.025816815194678468,0.035904348256197746,0.030363622710616104,0.012446622098184522,0.02865504167560905,0.04431161191663515,0.039485713857949044,0.039485713857949044,0.011516803502259202,0.011516803502259202,0.02161309382120909,0.013885747363041219,0.021073511781387357,0.011516803502259202,0.011516803502259202,0.013425479910361715,0.011516803502259202
kchambers92,0.012591198842039271,0.03618611527364308,0.028076218283558416,0.027241764499564412,0.27391883263467987,0.032371535216065526,0.02790206311701759,0.013620431158564967,0.03138821444080911,0.019544953437981728,0.02649589953749437,0.012591198842039271,0.028681243444040914,0.030946123626605485,0.02543017471106554,0.018476982298063157,0.014837208154175498,0.013141928272833383,0.015060425646370782,0.017958928076154436,0.026431763672739018,0.025787995364200112,0.045516871959146415,0.027809605735958098,0.032778130007561204,0.034751448983089066,0.016909762959162456,0.02729908422887122,0.036208529464056775,0.04061857887448912,0.04061857887448912,0.012591198842039271,0.012591198842039271,0.014394842455570947,0.015089329591346541,0.014304114553243126,0.012591198842039271,0.012591198842039271,0.01757124383805568,0.012591198842039271
Walrusin_about,0.01121443084667865,0.038811604751950446,0.0256214128269658,0.027949762561326502,0.032371535216065526,0.2710452920073574,0.02527901799504446,0.01226001281917682,0.030403670819344347,0.0181121019089542,0.02395761501127116,0.01121443084667865,0.024370136128200676,0.021129611445928172,0.022992131812689224,0.01700190693653978,0.01344304199299378,0.01177619657372667,0.013636466600841533,0.024143556585249436,0.018956241495248733,0.03447687160375307,0.03379750639188927,0.02904044711771731,0.034219236161037725,0.03922697461050959,0.012143420301133346,0.02176811447217212,0.042023639392361825,0.03918482960679492,0.03918482960679492,0.01121443084667865,0.01121443084667865,0.01298243045992097,0.01355062049498743,0.01292495567502764,0.01121443084667865,0.01121443084667865,0.013094615521443522,0.01121443084667865
Chicken-fork-king,0.011114041874153296,0.03773402366365202,0.02650892375880153,0.025779359687200246,0.02790206311701759,0.02527901799504446,0.27066468716829817,0.012143274190678992,0.033394840767747395,0.018031259391809856,0.022586721328290052,0.011114041874153296,0.027129950445994415,0.02098412803232482,0.018614391803437158,0.019850725362457272,0.01688827124705187,0.011686307592293856,0.0168348397496586,0.01655354557935955,0.025029338878752947,0.028517930590915622,0.03452175872791594,0.031549156547643835,0.03461451107156669,0.027531396499739128,0.012054017399220698,0.025705030132907862,0.038088621671488854,0.03913851407288854,0.03913851407288854,0.011114041874153392,0.011114041874153392,0.012866745927582331,0.013478675254941947,0.016018395778639907,0.011114041874153392,0.011114041874153392,0.01300898567406504,0.011114041874153392
KeziaTML,0.0010075650765315248,0.01845026192182706,0.010441406649242624,0.021464621779829926,0.013620431158564967,0.01226001281917682,0.012143274190678992,0.2500302987271319,0.01944181060498049,0.007786264436970738,0.009888866653312471,0.0010075650765315248,0.01156600253314179,0.010655736725911072,0.00827949296422776,0.006708179474217262,0.0031697575629308656,0.001538972685339815,0.0034100434132387433,0.006269712032400052,0.008364188184150186,0.01375644772989534,0.018551815509897894,0.01114075822728302,0.017677628154130084,0.014492041693613218,0.001899927472262927,0.011282500796591419,0.024026721296159494,0.02894373685683044,0.02894373685683044,0.0010075650765315248,0.0010075650765315248,0.002804981186208448,0.0032819071334808376,0.0027385792806930392,0.0010075650765315248,0.0010075650765315248,0.0028660384197647898,0.0010075650765315248
Krombopulos-Savage,0.018364784893090708,0.044583127636842,0.027998403718499085,0.03959419095627557,0.03138821444080911,0.030403670819344347,0.033394840767747395,0.01944181060498049,0.2882865658549518,0.040474907779525414,0.033211286538376725,0.018364784893090708,0.03234160687559342,0.02840837590052011,0.03323186522751894,0.024173199032415996,0.020566294133997316,0.018896192501898997,0.020974891993627853,0.024776185078355367,0.025932459471661676,0.04153603581713325,0.04450907818516071,0.028823176338816123,0.06540636601450558,0.04006297059803055,0.019275137247649517,0.03315722286439918,0.09389822664239345,0.046351390161434906,0.046351390161434906,0.018364784893090708,0.018364784893090708,0.02016220100276763,0.020757201371731558,0.020118204296081226,0.018364784893090708,0.018364784893090708,0.020248946658860883,0.018364784893090708
Olaaphrodite,0.006778699360439212,0.024360621406859587,0.016357897760857186,0.01848626544488609,0.019544953437981728,0.0181121019089542,0.018031259391809856,0.007786264436970738,0.040474907779525414,0.26211467917883163,0.015798633704635648,0.006778699360439212,0.020139611436734067,0.030888646629661547,0.014253074688620181,0.01249238161394561,0.008940891846838649,0.007310106969247503,0.022820093183363102,0.012063745738726043,0.014147374318100729,0.02386973687967183,0.024642834916703434,0.01689045833733173,0.023852822050503583,0.0267641650970925,0.007671061756170615,0.020954072508312174,0.03057054888080636,0.03471487114073813,0.03471487114073813,0.006778699360439212,0.006778699360439212,0.008598806389305871,0.009066074324224795,0.008460944632299747,0.006778699360439212,0.006778699360439212,0.008736816547695163,0.006778699360439212
